name,quantity,purchase_price_eur,purchase_total_eur,market_price_eur,market_total_eur,change_eur,change_pct
ABBVIE INC,10.0,66.7,666.99,188.71,1887.14,1220.15,182.93
ALPHABET INC -CL C,10.0,56.26,562.64,243.92,2439.15,1876.51,333.52
AMAZON COM INC - ORD SHS,101.0,96.09,9704.83,211.37,21348.64,11643.81,119.98
ASTRAZENECA PLC,83.0,103.72,8608.72,142.24,11806.11,3197.39,37.14
BAE SYSTEMS,100.0,15.59,1559.0,21.39,2139.0,580.0,37.2
BANCO SANTANDER SA,300.0,6.8,2038.65,8.83,2648.4,609.75,29.91
BROOKFIELD CORP,49.0,38.15,1869.52,39.86,1952.96,83.44,4.46
DIGIA,200.0,2.46,492.67,6.06,1212.0,719.33,146.01
ENEL SPA,400.0,7.43,2970.97,8.77,3508.8,537.83,18.1
FORTUM OYJ,200.0,17.28,3456.25,19.34,3868.0,411.75,11.91
IPSEN ORD SHS,20.0,114.74,2294.84,121.8,2436.0,141.16,6.15
KOJAMO OYJ,50.0,13.03,651.67,10.51,525.5,-126.17,-19.36
MANDATUM OYJ,159.0,2.96,470.41,6.22,989.3,518.89,110.31
MERCK AND CO - ORD SHS,20.0,80.5,1610.01,74.42,1488.32,-121.69,-7.56
MICROSOFT CORP - ORD SHS,46.0,244.72,11257.19,448.17,20615.59,9358.4,83.13
NOKIA OYJ,200.0,5.21,1041.8,5.86,1172.8,131.0,12.57
NORDEA BANK ABP,8.0,5.66,45.29,14.81,118.52,73.23,161.7
NOVO NORDISK B AS,35.0,43.22,1512.84,42.31,1480.81,-32.03,-2.12
ORGANON AND COMPANY,2.0,,,5.84,11.68,,
ORION B,60.0,26.53,1592.0,60.55,3633.0,2041.0,128.2
PFIZER INC - ORD SHS,50.0,,,21.33,1066.73,,
QUALCOMM INC,18.0,107.42,1933.5,156.57,2818.24,884.74,45.76
SAMPO OYJ A,795.0,6.5,5169.96,9.67,7686.06,2516.1,48.67
TELADOC HEALTH INC,10.0,173.37,1733.65,7.47,74.69,-1658.96,-95.69
TERVEYSTALO OYJ,400.0,10.79,4317.0,9.33,3732.0,-585.0,-13.55
UPM-KYMMENE,220.0,28.82,6339.5,23.28,5121.6,-1217.9,-19.21
WALT DISNEY CO,35.0,119.57,4185.04,97.47,3411.55,-773.49,-18.48
ISHARES AGEING POPULATION UCITS ETF - ACC,300.0,6.47,1941.0,7.84,2352.9,411.9,21.22
ISHARES AUTOMATION ROBOTICS UCITS ETF - ACC,210.0,10.92,2293.38,14.76,3100.44,807.06,35.19
ISHARES GLOBAL CLEAN ENERGY UCITS ETF - USD DIS,150.0,15.06,2259.0,8.57,1285.05,-973.95,-43.11
ISHARES HEALTHCARE INNOVATION UCITS ETF - ACC,100.0,6.95,695.0,7.44,744.4,49.4,7.11
ISHARES MSCI EM ASIA UCITS ETF - USD ACC,20.0,133.1,2662.0,207.35,4147.0,1485.0,55.79
ISHARES MSCI EMU SMALL CAP UCITS ETF - EUR ACC,16.0,239.39,3830.3,324.75,5196.0,1365.7,35.66
ISHARES MSCI USA SMALL CAP ESG ENHANCED UCITS ETF - USD ACC,6.0,409.0,2454.0,499.95,2999.7,545.7,22.24
ISHARES MSCI WORLD UCITS ETF - USD DIS,10.0,59.01,590.11,81.04,810.38,220.27,37.33
ISHARES STOXX EUROPE 600 INDUSTRIAL GOODS SERVICES UCITS ETF (DE) - EUR DIS,40.0,109.4,4376.0,108.64,4345.6,-30.4,-0.69
OP-AASIA INDEKSI A,82.4938,234.57,19350.32,298.72,24642.55,5292.23,27.35
OP-AMERIKKA INDEKSI A,36.1678,397.16,14364.47,549.69,19881.08,5516.61,38.4
SPDR MSCI WORLD SMALL CAP UCITS ETF - USD ACC,75.0,74.96,5621.95,108.12,8109.0,2487.05,44.24
VANECK MORNINGSTAR GLOBAL WIDE MOAT UCITS ETF - A ACC,100.0,22.67,2267.0,30.99,3099.0,832.0,36.7
VANECK MORNINGSTAR US SUSTAINABLE WIDE MOAT UCITS ETF - A ACC,45.0,48.65,2189.25,54.4,2448.0,258.75,11.82
VANECK QUANTUM COMPUTING UCITS ETF,80.0,18.42,1473.8,24.05,1923.6,449.8,30.52
VANECK SEMICONDUCTOR UCITS ETF - ACC,90.0,46.24,4161.3,53.61,4824.9,663.6,15.95
VANGUARD FTSE ALLWORLD HIGH DIV. YIELD UCITS ETF,50.0,70.8,3540.0,76.46,3823.0,283.0,7.99
VANGUARD FTSE DEVELOPED EUROPE UCITS ETF - EUR ACC,50.0,50.41,2520.5,51.94,2597.0,76.5,3.04
VANGUARD FTSE EMERGING MARKETS UCITS ETF - ACC,40.0,60.62,2425.0,68.65,2746.0,321.0,13.24
